ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-03-11,155.8908113057956,149.58091922703804,163.98906793197008,155.8908113057956,155.8908113057956,1.0236869202462289,1.0236869202462289,1.0236869202462289,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579874456,0.6069431579874456,0.6069431579874456,-9.511342512745415,-9.511342512745415,-9.511342512745415,0.0,0.0,0.0,156.91449822604184
2022-03-14,154.8851832926339,150.29183959845142,165.00811499911353,154.8851832926339,154.8851832926339,2.742112137638573,2.742112137638573,2.742112137638573,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483967401,0.6583620483967401,0.6583620483967401,-7.844336185762366,-7.844336185762366,-7.844336185762366,0.0,0.0,0.0,157.62729543027248
2022-03-15,154.5498794928826,150.5862276359463,165.3950592503589,154.5498794928826,154.5498794928826,3.3245365682262835,3.3245365682262835,3.3245365682262835,9.9280862750042,9.9280862750042,9.9280862750042,0.578466513179334,0.578466513179334,0.578466513179334,-7.18201621995725,-7.18201621995725,-7.18201621995725,0.0,0.0,0.0,157.8744160611089
2022-03-16,154.2145756931313,150.92651382856675,165.5265618868946,154.2145756931313,154.2145756931313,3.7906590941916827,3.7906590941916827,3.7906590941916827,9.9280862750042,9.9280862750042,9.9280862750042,0.3425052923611419,0.3425052923611419,0.3425052923611419,-6.4799324731736565,-6.4799324731736565,-6.4799324731736565,0.0,0.0,0.0,158.005234787323
2022-03-17,153.87927189337998,151.19957708543262,165.6550118114336,153.87927189337998,153.87927189337998,4.476553467098705,4.476553467098705,4.476553467098705,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451937365,0.2957446451937365,0.2957446451937365,-5.747277453099231,-5.747277453099231,-5.747277453099231,0.0,0.0,0.0,158.3558253604787
2022-03-18,153.54396809362865,151.65707436968947,166.93138126669587,153.54396809362865,153.54396809362865,5.541333232010549,5.541333232010549,5.541333232010549,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579876464,0.6069431579876464,0.6069431579876464,-4.9936962009812955,-4.9936962009812955,-4.9936962009812955,0.0,0.0,0.0,159.0853013256392
2022-03-21,152.53805669437472,153.26336539746669,167.8125140042387,152.53805669437472,152.53805669437472,7.879911210639208,7.879911210639208,7.879911210639208,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483981324,0.6583620483981324,0.6583620483981324,-2.7065371127631224,-2.7065371127631224,-2.7065371127631224,0.0,0.0,0.0,160.41796790501394
2022-03-22,152.2027528946234,153.45449107599592,168.4125895731925,152.2027528946234,152.2027528946234,8.53865240838642,8.53865240838642,8.53865240838642,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131776263,0.5784665131776263,0.5784665131776263,-1.967900379795406,-1.967900379795406,-1.967900379795406,0.0,0.0,0.0,160.7414053030098
2022-03-23,151.8674490948721,153.60016243157136,168.48909498582137,151.8674490948721,151.8674490948721,9.014102166496532,9.014102166496532,9.014102166496532,9.9280862750042,9.9280862750042,9.9280862750042,0.3425052923610341,0.3425052923610341,0.3425052923610341,-1.2564894008687009,-1.2564894008687009,-1.2564894008687009,0.0,0.0,0.0,160.88155126136863
2022-03-24,151.53214529512076,153.85267530353457,168.07998088017692,151.53214529512076,151.53214529512076,9.643255306756027,9.643255306756027,9.643255306756027,9.9280862750042,9.9280862750042,9.9280862750042,0.29574464519373617,0.29574464519373617,0.29574464519373617,-0.5805756134419066,-0.5805756134419066,-0.5805756134419066,0.0,0.0,0.0,161.1754006018768
2022-03-25,151.19684149536945,154.30099112278637,169.12818936331468,151.19684149536945,151.19684149536945,10.587453989189033,10.587453989189033,10.587453989189033,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579911316,0.6069431579911316,0.6069431579911316,0.05242455619370249,0.05242455619370249,0.05242455619370249,0.0,0.0,0.0,161.7842954845585
